text,id,class1,class2,class3,worker1,worker2,worker3,majority_label,agree_strict,agree,label_3times,worker_amt1,worker_amt2,worker_amt3,label_llm
"@4therepublicyt @spotify Well then. I block trolls, so have fun with that, jackass.I hope your wife doesn't end up like so many other white women who cross the lines.",102580904491418892_gab,"hatespeech, fearspeech","hatespeech, fearspeech",hatespeech,A3F8RP193M37U9,A34L4OHPHNU8ZK,A1Q9I7VIZZ3RS3,"hatespeech, fearspeech",0,1,hatespeech,1,1,1,hatespeech
actually biggest news would be a nuke going off in the middle of hajj another dead muslim in the hierarchy of any of the named groups is just an opportunity for another feral to take his place,3948117306636774_gab,fearspeech,fearspeech,hatespeech,62,A3JWP6ZBEHJ8AQ,63,fearspeech,0,0,,0,1,0,hatespeech
"When I wrote about a race war, I meant a serious thing: The Govt, the Army, the Police - vast numbers of blacks being trained & given AK47s. I was thinking REAL WAR, big war - with a BIG BUDGET - hundreds of billions of Rands. Secret preparations, etc. Even that scenario, we would survive. We'd have losses.",7196216423644140_gab,normal,hatespeech,"hatespeech, fearspeech",A1Q9I7VIZZ3RS3,A1KOG5Q6XX0DPU,A1X84CLJ7N1PLZ,hatespeech,0,0,,1,1,1,"fearspeech, hatespeech"
"LMFAO! I'm not even white, but this shit is hilarious!",8338049732534514_gab,hatespeech,normal,normal,A3GCVJINCZ758Y,AP3TMAKHW9G4P,A2FQYXUQ7F8IKK,normal,0,0,,1,1,1,normal
I would suspect that the women aren't allowed to beat the men in chess in Iran.  A bunch of MullahRkey! #IslamIsTheProblem,3610797605421789_gab,hatespeech,hatespeech,hatespeech,AP3TMAKHW9G4P,A14BSOU2Y5JNT0,A29MM3QH9J9AI5,hatespeech,1,1,hatespeech,1,1,1,hatespeech
"Yes and that is a serious issue. I want to explain what Slavery Reparations are people are getting pissed at the Spooks over this but its not the Spooks, its the Jews. The Jews believe the Spooks are stupid and would waste all their money thus putting it in their hands. See Reparations is about turning Whites into penniless homeless beggars while the Jews fleece the Spooks and they end up with all the property and all the money. Say I gave every Negro in America 50 grand. They would go out, buy gold grills and chains at Jewish jewelry stores, they would buy Caddies Lincolns Mercedes Benz at Jewish car lots, they would buy electronics at Jewish stores. Within a year the Reparations would all be in the pocket of Shlomo",10955875460440675_gab,hatespeech,fearspeech,"hatespeech, fearspeech",A1Q9I7VIZZ3RS3,A1CN4UXQNL22OO,A34L4OHPHNU8ZK,"hatespeech, fearspeech",0,0,,1,1,1,hatespeech
MB NEWS: France - Stupid bleeding heart couldn’t care less that she is endangering all her neighbors in Calais by opening her doors to illegal immigrants.Remember her name - It's only a matter of time before they rape and kill her.https://bit.ly/2WhQhaN,9703216047227170_gab,fearspeech,hatespeech,"hatespeech, fearspeech",A1Q9I7VIZZ3RS3,A1KOG5Q6XX0DPU,A2HIXQU15MCLMO,"hatespeech, fearspeech",0,0,,1,1,1,"fearspeech, hatespeech"
"Have you shot a firearm before? A ""double tap"" with a puny .22LR handgun will not be ""fine"" against a pack of howling niggers carrying AKs.",10522539055944256_gab,hatespeech,"hatespeech, fearspeech",hatespeech,A3TTGSUBIK1YCL,A14BSOU2Y5JNT0,A1HMZJ59OPLD1P,hatespeech,0,1,hatespeech,1,1,1,hatespeech
"Ah, I figured “Angel” was a girl, plus the fact you called him a “cunt”. You don’t need to use language like that, stay above them. Loser, trash, pig, low-life get your point across just as well as “cunt” without offending women!",8877453039625834_gab,normal,hatespeech,hatespeech,A2ZJAEL03VTZ8,A3GCVJINCZ758Y,A1HMZJ59OPLD1P,hatespeech,0,0,,1,1,1,normal
"I don't get it. If you hate your country enough to seek asylum in USA, then why are you holding your flag up high in one hand and throwing rocks with the other? #CloseTheBorderhttps://www.realclearpolitics.com/video/2018/11/26/san_diego_border_patrol_chief_asylum-seekers_would_surrender_not_throw_rocks.html",9170457342071017_gab,normal,hatespeech,normal,A13THSUF9KLI53,AP3TMAKHW9G4P,A1MXDBILWV8RXN,normal,0,0,,1,1,1,"fearspeech, hatespeech"
