id,id,text,majority_label,label_llmgpt_4_1_2025_04_14,label_llmgpt_4_1_2025_04_14_repeat1,label_llmgpt_4o,label_llmgpt_4o_repeat1,label_llmgpt_4o_repeat2,label_llmgpt_4o_repeat3,label_llmgpt_4o_repeat4,label_llmo3-mini_repeat1,label_llmo3_mini
102580904491418892_gab,102580904491418892_gab,"@4therepublicyt @spotify Well then. I block trolls, so have fun with that, jackass.I hope your wife doesn't end up like so many other white women who cross the lines.","hatespeech, fearspeech","fearspeech, hatespeech",hatespeech,hatespeech,hatespeech,hatespeech,hatespeech,hatespeech,hatespeech,hatespeech
10522539055944256_gab,10522539055944256_gab,"Have you shot a firearm before? A ""double tap"" with a puny .22LR handgun will not be ""fine"" against a pack of howling niggers carrying AKs.",hatespeech,hatespeech,hatespeech,hatespeech,hatespeech,hatespeech,hatespeech,hatespeech,hatespeech,hatespeech
10955875460440675_gab,10955875460440675_gab,"Yes and that is a serious issue. I want to explain what Slavery Reparations are people are getting pissed at the Spooks over this but its not the Spooks, its the Jews. The Jews believe the Spooks are stupid and would waste all their money thus putting it in their hands. See Reparations is about turning Whites into penniless homeless beggars while the Jews fleece the Spooks and they end up with all the property and all the money. Say I gave every Negro in America 50 grand. They would go out, buy gold grills and chains at Jewish jewelry stores, they would buy Caddies Lincolns Mercedes Benz at Jewish car lots, they would buy electronics at Jewish stores. Within a year the Reparations would all be in the pocket of Shlomo","hatespeech, fearspeech","fearspeech, hatespeech","fearspeech, hatespeech","fearspeech, hatespeech","fearspeech, hatespeech","fearspeech, hatespeech","hatespeech, fearspeech","fearspeech, hatespeech",hatespeech,hatespeech
3610797605421789_gab,3610797605421789_gab,I would suspect that the women aren't allowed to beat the men in chess in Iran.  A bunch of MullahRkey! #IslamIsTheProblem,hatespeech,hatespeech,hatespeech,fearspeech,"fearspeech, hatespeech",hatespeech,fearspeech,hatespeech,hatespeech,hatespeech
3948117306636774_gab,3948117306636774_gab,actually biggest news would be a nuke going off in the middle of hajj another dead muslim in the hierarchy of any of the named groups is just an opportunity for another feral to take his place,fearspeech,hatespeech,hatespeech,hatespeech,hatespeech,hatespeech,hatespeech,hatespeech,hatespeech,hatespeech
7196216423644140_gab,7196216423644140_gab,"When I wrote about a race war, I meant a serious thing: The Govt, the Army, the Police - vast numbers of blacks being trained & given AK47s. I was thinking REAL WAR, big war - with a BIG BUDGET - hundreds of billions of Rands. Secret preparations, etc. Even that scenario, we would survive. We'd have losses.",hatespeech,fearspeech,fearspeech,fearspeech,fearspeech,fearspeech,fearspeech,fearspeech,"fearspeech, hatespeech","fearspeech, hatespeech"
8338049732534514_gab,8338049732534514_gab,"LMFAO! I'm not even white, but this shit is hilarious!",normal,normal,normal,normal,normal,normal,normal,normal,normal,normal
8877453039625834_gab,8877453039625834_gab,"Ah, I figured “Angel” was a girl, plus the fact you called him a “cunt”. You don’t need to use language like that, stay above them. Loser, trash, pig, low-life get your point across just as well as “cunt” without offending women!",hatespeech,normal,normal,normal,normal,normal,normal,normal,normal,normal
9170457342071017_gab,9170457342071017_gab,"I don't get it. If you hate your country enough to seek asylum in USA, then why are you holding your flag up high in one hand and throwing rocks with the other? #CloseTheBorderhttps://www.realclearpolitics.com/video/2018/11/26/san_diego_border_patrol_chief_asylum-seekers_would_surrender_not_throw_rocks.html",normal,hatespeech,hatespeech,fearspeech,fearspeech,fearspeech,fearspeech,fearspeech,hatespeech,"fearspeech, hatespeech"
9703216047227170_gab,9703216047227170_gab,MB NEWS: France - Stupid bleeding heart couldn’t care less that she is endangering all her neighbors in Calais by opening her doors to illegal immigrants.Remember her name - It's only a matter of time before they rape and kill her.https://bit.ly/2WhQhaN,"hatespeech, fearspeech","fearspeech, hatespeech","fearspeech, hatespeech","fearspeech, hatespeech","fearspeech, hatespeech","fearspeech, hatespeech","fearspeech, hatespeech","fearspeech, hatespeech","fearspeech, hatespeech","fearspeech, hatespeech"
